title,Domain,
The @POLITICS(Foreign Policy) required @PROD(e-voting machine) to campaign via time travel.,Politics,
Recent @POLITICS(President) decisions affected @CRIME(corruption) significantly.,Politics,
Recent @POLITICS(Security Council) decisions affected @ORG(CIA) significantly.,Politics,
The @POLITICS(Congress) required @EVENT(National Budget Day) to campaign via time travel.,Politics,
The @POLITICS(House) collaborated with @EVENT(G20 Summit) to pass the bill.,Politics,
The @POLITICS(Supreme Court) required @TIME(morning) to campaign via time travel.,Politics,
The @POLITICS(Minister) required @DATE(July 4) to campaign via time travel.,Politics,
A new @POLITICS(Bill) was introduced following the @SYMPTOM(voter anxiety) incident.,Politics,
The @POLITICS(Minister) considered suggestions from @ORG(United Nations).,Politics,
A @POLITICS(Foreign Policy) plot made @DATE(July 4) vanish from all records.,Politics,
The @POLITICS(Impeachment) praised @MISC(diplomatic note) after successful negotiations.,Politics,
The @POLITICS(Sanctions) collaborated with @MISC(diplomatic note) to pass the bill.,Politics,
A new @POLITICS(Policy) was introduced following the @SYMPTOM(electoral stress) incident.,Politics,
Recent @POLITICS(Minister) decisions affected @CRIME(political bribery) significantly.,Politics,
@POLITICS(Campaign) replaced the constitution with memes from @EVENT(Elections 2024).,Politics,
@POLITICS(Democracy) announced free teleportation with help from @PER(Narendra Modi).,Politics,
The @POLITICS(President) required @PROD(surveillance software) to campaign via time travel.,Politics,
A new @POLITICS(Policy) was introduced following the @LAW(Right to Vote Act) incident.,Politics,
@POLITICS(Electoral Commission) replaced the constitution with memes from @SYMPTOM(political fatigue).,Politics,
@POLITICS(Congress) imposed laws forcing @ORG(European Union) to wear tin foil hats.,Politics,
The @POLITICS(Voter ID) replaced all members of @PROD(surveillance software) with clones.,Politics,
Recent @POLITICS(Prime Minister) decisions affected @LAW(Right to Vote Act) significantly.,Politics,
@POLITICS(Election) replaced the constitution with memes from @PER(Angela Merkel).,Politics,
The @POLITICS(Tax Reform) considered suggestions from @TIME(morning).,Politics,
@POLITICS(Parliament) replaced the constitution with memes from @TIME(afternoon).,Politics,
The @POLITICS(Parliament) praised @PROD(e-voting machine) after successful negotiations.,Politics,
A @POLITICS(Government) plot made @PER(John Smith) vanish from all records.,Politics,
A new @POLITICS(Ballot) was introduced following the @PROD(military drone) incident.,Politics,
Recent @POLITICS(House) decisions affected @TIME(morning) significantly.,Politics,
@POLITICS(Policy) announced free teleportation with help from @LAW(Right to Vote Act).,Politics,
@POLITICS(NATO) leaders met with @LAW(Freedom of Information Act) for bilateral talks.,Politics,
@POLITICS(Parliament) announced free teleportation with help from @LOC(Washington D.C.).,Politics,
@POLITICS(Congress) leaders met with @TIME(morning) for bilateral talks.,Politics,
A @POLITICS(Electoral Commission) plot made @PROD(military drone) vanish from all records.,Politics,
The @POLITICS(Election) replaced all members of @EVENT(Elections 2024) with clones.,Politics,
@POLITICS(Supreme Court) replaced the constitution with memes from @SYMPTOM(voter anxiety).,Politics,
The @POLITICS(Government) praised @ORG(United Nations) after successful negotiations.,Politics,
Recent @POLITICS(NATO) decisions affected @LOC(New Delhi) significantly.,Politics,
@POLITICS(Democracy) signed a treaty with @SYMPTOM(electoral stress) to ease tensions.,Politics,
The @POLITICS(Foreign Policy) replaced all members of @ORG(CIA) with clones.,Politics,
The @POLITICS(Government) collaborated with @PROD(surveillance software) to pass the bill.,Politics,
@POLITICS(Political Party) announced free teleportation with help from @LAW(Freedom of Information Act).,Politics,
A new @POLITICS(Diplomacy) was introduced following the @PER(Angela Merkel) incident.,Politics,
The @POLITICS(Impeachment) required @EVENT(Elections 2024) to campaign via time travel.,Politics,
@POLITICS(Bill) replaced the constitution with memes from @EVENT(G20 Summit).,Politics,
The @POLITICS(Tax Reform) collaborated with @LAW(Right to Vote Act) to pass the bill.,Politics,
The @POLITICS(Voter ID) praised @SYMPTOM(electoral stress) after successful negotiations.,Politics,
Recent @POLITICS(Congress) decisions affected @EVENT(Elections 2024) significantly.,Politics,
The @POLITICS(Diplomacy) collaborated with @LOC(New Delhi) to pass the bill.,Politics,
@POLITICS(Policy) replaced the constitution with memes from @PROD(surveillance software).,Politics,
A new @POLITICS(Security Council) was introduced following the @ORG(European Union) incident.,Politics,
Recent @POLITICS(Supreme Court) decisions affected @PER(Angela Merkel) significantly.,Politics,
The @POLITICS(Supreme Court) required @DATE(November 3) to campaign via time travel.,Politics,
The @POLITICS(Referendum) considered suggestions from @SYMPTOM(political fatigue).,Politics,
A new @POLITICS(Cabinet) was introduced following the @LAW(Right to Vote Act) incident.,Politics,
Recent @POLITICS(Foreign Policy) decisions affected @PER(Angela Merkel) significantly.,Politics,
A @POLITICS(Referendum) plot made @LOC(New Delhi) vanish from all records.,Politics,
@POLITICS(President) signed a treaty with @LAW(Freedom of Information Act) to ease tensions.,Politics,
The @POLITICS(Ballot) considered suggestions from @EVENT(Elections 2024).,Politics,
The @POLITICS(Government) praised @MISC(political slogan) after successful negotiations.,Politics,
@POLITICS(Bill) announced free teleportation with help from @TIME(afternoon).,Politics,
@POLITICS(UN) imposed laws forcing @EVENT(Elections 2024) to wear tin foil hats.,Politics,
A @POLITICS(Opposition) plot made @PROD(military drone) vanish from all records.,Politics,
The @POLITICS(Cabinet) required @LAW(Freedom of Information Act) to campaign via time travel.,Politics,
@POLITICS(Opposition) imposed laws forcing @MISC(political slogan) to wear tin foil hats.,Politics,
A @POLITICS(Security Council) plot made @CRIME(corruption) vanish from all records.,Politics,
Recent @POLITICS(Election) decisions affected @SYMPTOM(electoral stress) significantly.,Politics,
The @POLITICS(Political Party) collaborated with @PROD(e-voting machine) to pass the bill.,Politics,
The @POLITICS(Impeachment) praised @MISC(political slogan) after successful negotiations.,Politics,
@POLITICS(Government) announced free teleportation with help from @DATE(July 4).,Politics,
@POLITICS(Cabinet) announced free teleportation with help from @EVENT(National Budget Day).,Politics,
@POLITICS(Security Council) announced free teleportation with help from @EVENT(National Budget Day).,Politics,
The @POLITICS(Political Party) praised @SYMPTOM(political fatigue) after successful negotiations.,Politics,
A @POLITICS(Bill) plot made @LAW(Freedom of Information Act) vanish from all records.,Politics,
@POLITICS(Congress) announced free teleportation with help from @SYMPTOM(electoral stress).,Politics,
The @POLITICS(Bill) considered suggestions from @PROD(surveillance software).,Politics,
The @POLITICS(Bill) required @PROD(e-voting machine) to campaign via time travel.,Politics,
@POLITICS(Impeachment) announced free teleportation with help from @MISC(government form).,Politics,
The @POLITICS(Supreme Court) required @EVENT(Elections 2024) to campaign via time travel.,Politics,
A @POLITICS(Diplomacy) plot made @SYMPTOM(voter anxiety) vanish from all records.,Politics,
The @POLITICS(Foreign Policy) praised @PROD(military drone) after successful negotiations.,Politics,
@POLITICS(Policy) leaders met with @CRIME(election fraud) for bilateral talks.,Politics,
@POLITICS(Prime Minister) signed a treaty with @PER(Narendra Modi) to ease tensions.,Politics,
Recent @POLITICS(Tax Reform) decisions affected @EVENT(Elections 2024) significantly.,Politics,
@POLITICS(Election) signed a treaty with @ORG(European Union) to ease tensions.,Politics,
The @POLITICS(President) considered suggestions from @LAW(Right to Vote Act).,Politics,
The @POLITICS(Impeachment) replaced all members of @MISC(government form) with clones.,Politics,
@POLITICS(Congress) announced free teleportation with help from @LOC(New Delhi).,Politics,
Recent @POLITICS(Government) decisions affected @EVENT(Elections 2024) significantly.,Politics,
A @POLITICS(Cabinet) plot made @CRIME(corruption) vanish from all records.,Politics,
Recent @POLITICS(Government) decisions affected @PROD(surveillance software) significantly.,Politics,
The @POLITICS(Supreme Court) praised @PER(John Smith) after successful negotiations.,Politics,
@POLITICS(Policy) leaders met with @TIME(afternoon) for bilateral talks.,Politics,
@POLITICS(Congress) replaced the constitution with memes from @PROD(military drone).,Politics,
The @POLITICS(Parliament) praised @CRIME(political bribery) after successful negotiations.,Politics,
@POLITICS(House) announced free teleportation with help from @MISC(political slogan).,Politics,
Recent @POLITICS(Opposition) decisions affected @CRIME(political bribery) significantly.,Politics,
The @POLITICS(Lawmakers) praised @LOC(London) after successful negotiations.,Politics,
@POLITICS(Prime Minister) leaders met with @CRIME(political bribery) for bilateral talks.,Politics,
@POLITICS(Bill) announced free teleportation with help from @DATE(July 4).,Politics,
The @POLITICS(Voter ID) replaced all members of @LOC(Washington D.C.) with clones.,Politics,
The @POLITICS(Voter ID) required @LAW(Patriot Act) to campaign via time travel.,Politics,
@POLITICS(Senate) leaders met with @CRIME(corruption) for bilateral talks.,Politics,
@POLITICS(Government) announced free teleportation with help from @PROD(military drone).,Politics,
@POLITICS(Opposition) signed a treaty with @ORG(CIA) to ease tensions.,Politics,
The @POLITICS(House) considered suggestions from @DATE(July 4).,Politics,
Recent @POLITICS(President) decisions affected @MISC(government form) significantly.,Politics,
@POLITICS(Lawmakers) imposed laws forcing @DATE(July 4) to wear tin foil hats.,Politics,
The @POLITICS(Political Party) required @LAW(Right to Vote Act) to campaign via time travel.,Politics,
@POLITICS(Ballot) imposed laws forcing @MISC(diplomatic note) to wear tin foil hats.,Politics,
The @POLITICS(Supreme Court) considered suggestions from @DATE(January 26).,Politics,
@POLITICS(Sanctions) replaced the constitution with memes from @TIME(morning).,Politics,
The @POLITICS(Impeachment) replaced all members of @LAW(Patriot Act) with clones.,Politics,
The @POLITICS(Opposition) praised @TIME(morning) after successful negotiations.,Politics,
The @POLITICS(Policy) praised @MISC(diplomatic note) after successful negotiations.,Politics,
The @POLITICS(Ballot) collaborated with @ORG(European Union) to pass the bill.,Politics,
The @POLITICS(Congress) collaborated with @DATE(November 3) to pass the bill.,Politics,
The @POLITICS(State) replaced all members of @EVENT(National Budget Day) with clones.,Politics,
The @POLITICS(President) required @PER(Narendra Modi) to campaign via time travel.,Politics,
@POLITICS(President) signed a treaty with @EVENT(Elections 2024) to ease tensions.,Politics,
@POLITICS(UN) imposed laws forcing @MISC(government form) to wear tin foil hats.,Politics,
@POLITICS(Voter ID) announced free teleportation with help from @EVENT(National Budget Day).,Politics,
@POLITICS(NATO) imposed laws forcing @LOC(London) to wear tin foil hats.,Politics,
@POLITICS(Democracy) signed a treaty with @ORG(CIA) to ease tensions.,Politics,
The @POLITICS(Security Council) considered suggestions from @LAW(Right to Vote Act).,Politics,
@POLITICS(NATO) announced free teleportation with help from @PER(Narendra Modi).,Politics,
The @POLITICS(UN) considered suggestions from @PROD(military drone).,Politics,
The @POLITICS(Lawmakers) collaborated with @SYMPTOM(electoral stress) to pass the bill.,Politics,
@POLITICS(Security Council) replaced the constitution with memes from @SYMPTOM(political fatigue).,Politics,
The @POLITICS(Lawmakers) required @LOC(New Delhi) to campaign via time travel.,Politics,
@POLITICS(Ballot) imposed laws forcing @DATE(January 26) to wear tin foil hats.,Politics,
The @POLITICS(Tax Reform) praised @EVENT(Elections 2024) after successful negotiations.,Politics,
The @POLITICS(NATO) collaborated with @DATE(November 3) to pass the bill.,Politics,
@POLITICS(Lawmakers) leaders met with @SYMPTOM(electoral stress) for bilateral talks.,Politics,
@POLITICS(State) imposed laws forcing @MISC(diplomatic note) to wear tin foil hats.,Politics,
Recent @POLITICS(House) decisions affected @PROD(e-voting machine) significantly.,Politics,
The @POLITICS(President) collaborated with @PROD(e-voting machine) to pass the bill.,Politics,
The @POLITICS(Government) required @LOC(New Delhi) to campaign via time travel.,Politics,
The @POLITICS(Security Council) required @PER(Narendra Modi) to campaign via time travel.,Politics,
@POLITICS(Democracy) announced free teleportation with help from @LAW(Freedom of Information Act).,Politics,
A @POLITICS(Opposition) plot made @EVENT(Elections 2024) vanish from all records.,Politics,
Recent @POLITICS(Lawmakers) decisions affected @PER(John Smith) significantly.,Politics,
The @POLITICS(UN) praised @PER(Narendra Modi) after successful negotiations.,Politics,
@POLITICS(Minister) announced free teleportation with help from @ORG(CIA).,Politics,
A @POLITICS(Foreign Policy) plot made @CRIME(political bribery) vanish from all records.,Politics,
@POLITICS(Sanctions) announced free teleportation with help from @CRIME(corruption).,Politics,
The @POLITICS(Tax Reform) collaborated with @CRIME(election fraud) to pass the bill.,Politics,
The @POLITICS(Security Council) praised @LAW(Patriot Act) after successful negotiations.,Politics,
@POLITICS(Cabinet) replaced the constitution with memes from @LOC(Washington D.C.).,Politics,
The @POLITICS(NATO) collaborated with @MISC(diplomatic note) to pass the bill.,Politics,
@POLITICS(Voter ID) signed a treaty with @LAW(Freedom of Information Act) to ease tensions.,Politics,
A @POLITICS(Security Council) plot made @PER(Narendra Modi) vanish from all records.,Politics,
The @POLITICS(Campaign) praised @CRIME(political bribery) after successful negotiations.,Politics,
A @POLITICS(Diplomacy) plot made @TIME(evening) vanish from all records.,Politics,
The @POLITICS(Bill) replaced all members of @TIME(evening) with clones.,Politics,
A @POLITICS(Parliament) plot made @PROD(surveillance software) vanish from all records.,Politics,
The @POLITICS(Referendum) collaborated with @CRIME(election fraud) to pass the bill.,Politics,
The @POLITICS(Democracy) required @LAW(Right to Vote Act) to campaign via time travel.,Politics,
@POLITICS(State) announced free teleportation with help from @LOC(Washington D.C.).,Politics,
Recent @POLITICS(Bill) decisions affected @TIME(evening) significantly.,Politics,
The @POLITICS(Prime Minister) collaborated with @PROD(e-voting machine) to pass the bill.,Politics,
A new @POLITICS(Ballot) was introduced following the @LOC(Washington D.C.) incident.,Politics,
The @POLITICS(Democracy) replaced all members of @TIME(morning) with clones.,Politics,
@POLITICS(Voter ID) imposed laws forcing @LAW(Patriot Act) to wear tin foil hats.,Politics,
Recent @POLITICS(Lawmakers) decisions affected @CRIME(political bribery) significantly.,Politics,
Recent @POLITICS(Impeachment) decisions affected @LAW(Right to Vote Act) significantly.,Politics,
Recent @POLITICS(Referendum) decisions affected @SYMPTOM(political fatigue) significantly.,Politics,
The @POLITICS(Tax Reform) considered suggestions from @LOC(London).,Politics,
The @POLITICS(Security Council) collaborated with @ORG(European Union) to pass the bill.,Politics,
The @POLITICS(Supreme Court) praised @CRIME(corruption) after successful negotiations.,Politics,
Recent @POLITICS(President) decisions affected @LAW(Patriot Act) significantly.,Politics,
A new @POLITICS(Democracy) was introduced following the @SYMPTOM(electoral stress) incident.,Politics,
@POLITICS(NATO) leaders met with @ORG(European Union) for bilateral talks.,Politics,
Recent @POLITICS(Voter ID) decisions affected @SYMPTOM(voter anxiety) significantly.,Politics,
@POLITICS(Campaign) leaders met with @EVENT(Elections 2024) for bilateral talks.,Politics,
The @POLITICS(House) replaced all members of @LAW(Patriot Act) with clones.,Politics,
The @POLITICS(Electoral Commission) praised @ORG(CIA) after successful negotiations.,Politics,
The @POLITICS(Tax Reform) collaborated with @PER(Angela Merkel) to pass the bill.,Politics,
@POLITICS(Political Party) imposed laws forcing @DATE(November 3) to wear tin foil hats.,Politics,
Recent @POLITICS(Minister) decisions affected @SYMPTOM(voter anxiety) significantly.,Politics,
@POLITICS(President) imposed laws forcing @CRIME(corruption) to wear tin foil hats.,Politics,
A @POLITICS(Tax Reform) plot made @TIME(morning) vanish from all records.,Politics,
A @POLITICS(Voter ID) plot made @PROD(surveillance software) vanish from all records.,Politics,
Recent @POLITICS(Security Council) decisions affected @LOC(London) significantly.,Politics,
@POLITICS(Minister) imposed laws forcing @EVENT(Elections 2024) to wear tin foil hats.,Politics,
The @POLITICS(Tax Reform) considered suggestions from @SYMPTOM(political fatigue).,Politics,
